source target weight
0 491 0.48
0 500 2.23
0 204 1.22
1 352 1.03
1 303 1.26
1 288 1.26
2 646 0.46
2 366 0.81
2 344 2.1
3 68 1.81
3 142 1.6
3 491 0.85
4 474 2.87
4 510 0.98
4 244 0.31
5 151 1.01
5 506 1.01
5 333 1.67
6 422 1.26
6 588 1.21
6 79 1.23
7 533 4.86
7 415 0.96
7 128 1.75
8 338 0.85
8 471 1.23
8 30 0.4
9 523 0.95
9 5 0.45
9 495 0.69
10 43 2.21
10 383 1.29
10 548 1.74
11 161 0.8
11 208 0.67
11 479 1.56
12 55 2.14
12 560 1.58
12 526 0.67
13 57 1.31
13 315 1.07
13 685 0.66
14 32 1.19
14 646 1.09
14 153 2.02
15 511 0.98
15 398 0.81
15 77 1.24
16 232 0.37
16 428 1.76
16 54 1.12
17 49 0.66
17 672 1.27
17 533 0.65
18 106 0.79
18 291 1.78
18 208 0.57
19 296 0.9
19 645 0.47
19 570 0.67
20 259 0.96
20 321 0.79
20 274 0.81
21 331 0.59
21 694 1.13
21 356 0.85
22 694 0.86
22 376 0.88
22 420 1.06
23 141 0.88
23 67 0.89
23 524 1.69
24 602 3.19
24 518 0.71
24 34 1.23
25 284 0.37
25 251 1.91
25 332 1.08
26 46 1.51
26 448 0.97
26 325 0.64
27 133 1.04
27 315 0.31
27 158 1.8
28 583 1.8
28 504 1.01
28 447 0.6
29 375 1.25
29 416 1.59
29 211 1.79
30 91 1.26
30 73 0.81
30 510 0.51
31 551 1.02
31 151 0.49
31 659 1.89
32 39 0.48
32 457 0.57
32 582 2.69
33 274 0.66
33 457 0.73
33 390 0.96
34 681 0.74
34 14 0.86
34 3 1.6
35 289 1.25
35 217 0.7
35 197 0.6
36 436 1.21
36 528 1.21
36 66 0.88
37 310 1.14
37 139 1.48
37 608 0.87
38 406 1.17
38 546 0.99
38 653 0.71
39 584 1.3
39 319 0.93
39 336 0.8
40 659 1.21
40 522 0.73
40 331 1.71
41 42 0.57
41 124 0.89
41 406 0.92
42 285 0.87
42 472 0.21
42 15 0.48
43 498 0.96
43 664 0.55
43 418 1.01
44 72 0.68
44 72 0.46
44 664 0.7
45 374 1.36
45 328 0.36
45 570 0.53
46 415 1.55
46 188 0.88
46 690 0.64
47 646 1.23
47 85 0.58
47 690 1.29
48 519 0.92
48 691 0.62
48 107 0.72
49 581 1.38
49 586 1.72
49 260 1.11
50 460 0.35
50 301 1.67
50 18 0.52
51 255 0.33
51 505 0.41
51 571 0.45
52 551 0.73
52 500 0.78
52 399 1.33
53 503 0.59
53 483 0.31
53 614 1.46
54 167 0.93
54 248 1.65
54 229 1.06
55 569 0.68
55 107 0.49
55 595 0.81
56 167 0.85
56 609 2.72
56 240 0.95
57 296 0.73
57 360 1.11
57 298 0.95
58 46 1.51
58 99 1.19
58 625 0.86
59 348 0.61
59 298 0.59
59 14 0.71
60 587 0.73
60 234 1.16
60 555 0.71
61 600 3.06
61 312 2.26
61 642 0.8
62 612 0.72
62 690 1.6
62 14 0.75
63 599 0.41
63 686 2.93
63 13 1.37
64 316 0.65
64 617 2.58
64 21 0.66
65 258 0.53
65 416 0.63
65 543 0.67
66 633 0.36
66 605 0.76
66 663 0.88
67 7 1.23
67 290 1.13
67 467 0.69
68 28 1.07
68 66 1.8
68 304 0.96
69 188 0.56
69 7 1.21
69 519 0.46
70 560 1.91
70 521 0.7
70 128 1.06
71 667 0.51
71 181 0.83
71 392 0.85
72 188 1.19
72 167 0.86
72 567 0.97
73 642 1.44
73 237 1.24
73 280 0.5
74 297 2.6
74 248 2.37
74 549 1.18
75 386 0.66
75 685 0.9
75 525 0.43
76 42 2.04
76 115 1.78
76 18 0.95
77 672 0.33
77 37 1.17
77 565 1.69
78 10 1.21
78 488 0.78
78 448 0.45
79 229 1.27
79 141 0.69
79 395 1.01
80 235 1.24
80 341 0.79
80 47 0.79
81 619 0.84
81 285 0.95
81 323 0.56
82 312 1.25
82 246 1.17
82 16 0.65
83 328 0.86
83 41 0.82
83 634 1.11
84 108 1.91
84 298 0.5
84 328 1.17
85 165 0.68
85 558 0.54
85 331 0.67
86 129 1.67
86 455 0.94
86 162 0.91
87 138 0.84
87 338 0.65
