source target weight
0 492 1.28
0 438 1.31
0 550 1.27
1 123 0.51
1 356 1.94
1 92 1.49
2 136 0.99
2 178 1.35
2 118 1.86
3 231 1.21
3 529 1.04
3 42 0.68
4 498 0.59
4 450 0.72
4 268 3.43
5 175 0.77
5 164 0.6
5 286 0.43
6 502 0.94
6 72 1.37
6 343 0.51
7 1 0.58
7 428 1.36
7 138 0.51
8 306 0.62
8 43 2.06
8 400 0.89
9 108 0.86
9 287 1.07
9 569 0.97
10 594 0.5
10 518 0.74
10 57 0.31
11 179 1.05
11 437 0.76
11 5 0.7
12 493 0.57
12 465 1.03
12 26 0.92
13 57 0.94
13 476 0.96
13 28 2.12
14 414 1.13
14 376 0.67
14 275 1.51
15 359 0.88
15 108 0.42
15 414 0.27
16 282 0.87
16 58 1.54
16 400 2.1
17 153 0.79
17 326 1.31
17 203 0.55
18 46 0.89
18 179 0.62
18 252 0.49
19 458 1.45
19 541 1.36
19 369 1.17
20 600 2.5
20 305 0.62
20 320 0.52
21 247 0.97
21 35 1.11
21 212 0.9
22 32 0.8
22 537 0.62
22 58 1.22
23 74 1.31
23 70 1.38
23 295 1.38
24 485 1.37
24 111 1.33
24 544 1.26
25 246 0.96
25 249 1.67
25 233 1.55
26 109 1.39
26 426 0.69
26 208 1.46
27 12 1.1
27 111 1.94
27 549 1.82
28 107 1.5
28 74 0.92
28 165 1.65
29 280 1.06
29 211 1.04
29 433 0.71
30 574 0.79
30 41 0.89
30 200 1.16
31 552 0.64
31 271 1.49
31 244 1.86
32 21 0.44
32 452 0.4
32 573 0.46
33 437 1.47
33 138 0.95
33 103 1.17
34 313 0.87
34 350 0.3
34 592 0.51
35 351 1.09
35 114 0.54
35 224 1.26
36 292 2.12
36 385 1.26
36 460 1.23
37 431 0.64
37 523 1.0
37 292 1.56
38 557 0.97
38 265 0.99
38 581 1.05
39 166 2.1
39 549 0.65
39 265 1.53
40 41 0.51
40 205 0.53
40 251 1.42
41 213 1.48
41 426 0.75
41 356 0.77
42 512 3.03
42 313 1.47
42 61 1.6
43 393 0.71
43 567 0.82
43 381 2.01
44 474 1.13
44 469 1.88
44 422 0.84
45 15 1.71
45 105 0.5
45 229 0.59
46 560 0.52
46 185 0.58
46 150 0.95
47 400 2.27
47 380 0.3
47 508 1.85
48 11 1.22
48 322 2.0
48 33 0.85
49 194 1.11
49 542 0.78
49 270 0.69
50 103 1.54
50 400 1.5
50 578 1.37
51 420 0.59
51 439 0.3
51 451 1.2
52 335 0.64
52 502 0.75
52 502 0.57
53 150 0.86
53 474 1.77
53 206 1.03
54 363 2.66
54 334 0.99
54 512 1.1
55 158 1.22
55 180 0.72
55 94 1.14
56 264 2.79
56 295 0.95
56 241 0.99
57 260 1.25
57 6 1.53
57 247 0.68
58 588 1.16
58 298 0.77
58 314 0.78
59 127 1.83
59 485 0.51
59 556 1.79
60 426 0.6
60 541 1.77
60 476 1.02
61 7 0.54
61 558 1.37
61 94 2.19
62 47 1.03
62 144 1.27
62 476 0.98
63 154 0.72
63 411 1.07
63 397 2.36
64 222 0.79
64 554 1.13
64 303 0.81
65 456 0.9
65 257 0.89
65 96 0.76
66 469 1.99
66 77 0.56
66 65 0.63
67 301 1.01
67 468 0.93
67 176 0.72
68 312 0.57
68 440 0.71
68 251 2.94
69 91 0.81
69 251 0.57
69 28 0.28
70 450 3.44
70 599 1.35
70 273 2.02
71 507 1.04
71 138 1.53
71 395 1.86
72 115 0.68
72 125 2.52
72 119 1.42
73 234 0.63
73 250 0.69
73 506 0.94
74 298 1.94
74 66 1.14
74 172 1.45
75 184 1.79
75 52 0.61
75 545 1.94
76 161 0.56
76 217 0.49
76 210 1.03
77 204 1.06
77 279 0.69
77 274 1.54
78 598 1.15
78 52 0.63
78 223 0.75
79 492 1.49
79 409 1.04
79 166 2.65
80 123 1.38
80 597 1.08
80 356 0.95
81 238 0.99
81 316 1.12
81 443 1.08
82 233 1.39
82 255 0.84
82 16 0.54
83 9 0.56
83 514 0.6
83 385 0.89
84 82 0.89
84 255 0.63
84 210 1.01
85 15 0.58
85 329 1.15
85 299 1.45
86 281 1.13
86 456 0.88
86 345 0.71
87 26 0.76
87 471 2.13
87 471 0.38
88 420 1.6
88 219 1.17
88 250 1.54
89 72 0.96
89 565 0.48
89 71 1.12
90 232 3.03
90 349 0.74
90 181 0.82
91 414 0.59
91 90 0.74
91 570 1.04
92 539 1.28
92 360 1.23
92 25 1.13
93 205 1.82
93 570 0.86
93 124 0.52
94 308 0.82
94 380 0.83
94 407 1.32
95 308 1.31
95 205 0.37
95 13 1.97
96 149 1.25
96 402 1.29
96 68 0.99
97 460 1.91
97 98 0.41
97 501 2.79
98 35 0.89
98 294 1.3
98 171 1.37
99 213 0.85
99 581 0.84
99 213 0.79
100 440 1.49
100 296 0.69
100 348 2.01
101 228 1.24
101 419 1.35
101 13 0.8
102 254 0.96
102 374 0.57
102 410 1.03
103 57 0.37
103 303 0.94
103 7 1.51
104 543 1.14
104 220 1.3
104 542 2.76
105 564 0.72
105 19 1.1
105 442 0.74
106 401 0.47
106 587 0.5
106 213 0.8
107 188 1.03
107 91 2.03
107 223 0.55
108 542 1.38
108 101 2.13
108 245 2.42
109 384 0.65
109 43 1.46
109 567 1.38
110 508 1.42
110 573 0.91
110 19 1.04
111 3 1.29
111 256 1.54
111 449 1.45
112 4 1.23
112 469 0.83
112 481 0.71
113 453 1.6
113 501 0.47
113 322 1.19
114 249 0.71
114 561 0.43
114 50 1.2
115 178 1.07
115 256 1.34
115 451 1.24
116 64 1.64
116 295 1.17
116 221 1.33
117 585 3.22
117 264 1.5
117 132 0.71
118 212 1.24
118 502 0.93
118 349 2.04
119 405 0.59
119 68 1.43
119 131 1.23
120 340 0.46
120 467 1.4
120 467 2.13
121 204 1.36
121 112 0.45
121 514 1.42
122 459 1.11
122 170 2.17
122 305 0.54
123 227 0.46
123 135 0.95
123 358 1.09
124 557 0.58
124 58 0.86
124 549 0.89
125 213 0.54
125 564 0.69
125 552 0.51
126 459 1.47
126 256 0.64
126 478 1.2
127 349 1.49
127 245 0.43
127 195 2.08
128 522 0.69
128 443 2.73
128 133 0.91
129 169 0.59
129 492 0.78
129 541 1.05
130 90 0.69
130 552 1.3
130 561 1.17
131 411 0.61
131 227 0.84
131 170 1.54
132 16 0.53
132 517 1.21
132 69 0.89
133 226 0.52
133 587 0.84
133 134 0.72
134 489 0.71
134 10 1.63
134 589 1.14
135 267 1.56
135 306 1.46
135 538 0.8
136 585 0.94
136 121 1.13
136 374 1.16
137 545 1.17
137 143 1.52
137 438 2.45
138 22 1.33
138 40 2.31
138 331 1.1
139 504 1.33
139 81 1.19
139 256 0.57
140 45 1.58
140 228 1.01
140 356 1.1
141 354 0.93
141 76 1.23
141 329 0.57
142 194 0.37
142 148 0.7
142 509 2.24
143 169 1.43
143 86 0.74
143 465 5.68
144 407 1.42
144 286 1.38
144 512 0.35
145 290 0.56
145 282 1.8
145 329 1.5
146 97 0.69
146 248 1.02
146 306 0.41
147 160 0.69
147 479 0.74
147 593 1.52
148 369 1.69
148 45 2.0
148 376 0.48
149 39 0.59
149 552 0.79
149 580 0.54
150 504 0.84
150 147 0.74
150 175 0.61
151 478 0.79
151 31 1.67
151 99 1.62
152 227 1.73
152 515 0.44
152 225 0.88
153 147 1.36
153 476 1.15
153 329 0.52
154 100 1.36
154 593 2.16
154 86 1.4
155 432 1.13
155 306 0.96
155 527 1.8
156 70 1.74
156 370 1.14
156 121 0.47
157 484 0.68
157 13 2.72
157 545 0.54
158 42 1.45
158 85 1.66
158 298 1.29
159 457 1.76
159 108 0.77
159 382 2.17
160 272 1.44
160 155 1.18
160 169 1.55
161 197 1.49
161 475 1.56
161 115 0.83
162 401 2.54
162 319 0.97
162 319 0.85
163 348 2.2
163 43 0.47
163 382 0.62
164 130 1.29
164 258 1.08
164 70 1.26
165 426 1.18
165 576 1.5
165 157 0.58
166 401 0.89
166 47 0.97
166 62 0.81
167 350 1.78
167 486 1.07
167 255 0.9
168 153 1.42
168 539 1.11
168 323 1.14
169 448 0.48
169 470 0.62
169 332 0.62
170 458 0.62
170 294 0.98
170 41 2.09
171 265 0.51
171 285 1.32
171 156 0.92
172 116 0.97
172 414 0.55
172 414 0.36
173 69 1.27
173 281 1.5
173 237 0.92
174 357 1.2
174 172 1.37
174 161 1.08
175 505 0.53
175 340 0.45
175 99 0.57
176 375 0.55
176 306 1.26
176 425 0.66
177 395 1.12
177 159 0.95
177 82 1.02
178 327 0.67
178 467 0.58
178 575 0.63
179 144 0.64
179 295 0.73
179 346 1.65
180 556 1.05
180 524 0.53
180 444 2.22
181 187 0.89
181 141 0.8
181 365 2.06
182 200 1.25
182 278 1.26
182 63 0.42
183 175 0.38
183 311 1.05
183 6 0.68
184 457 0.46
184 577 1.7
184 554 1.41
185 379 0.9
185 274 0.87
185 200 1.47
186 452 2.36
186 475 0.89
186 155 2.02
187 276 1.05
187 475 0.83
187 514 1.3
188 318 0.36
188 394 0.42
188 477 1.93
189 569 0.59
189 544 0.84
189 350 0.65
190 294 1.54
190 598 1.15
190 409 1.35
191 355 0.77
191 50 1.48
191 292 0.7
192 157 0.38
192 128 0.83
192 64 0.84
193 51 1.01
193 534 1.88
193 41 0.72
194 204 1.18
194 263 0.85
194 241 1.1
195 374 0.72
195 137 0.61
195 20 0.62
196 341 0.91
196 360 1.39
196 359 2.49
197 476 0.69
197 60 1.57
197 590 0.33
198 511 2.0
198 61 1.49
198 381 0.61
199 21 1.51
199 436 2.37
199 442 1.89
200 480 0.7
200 427 0.5
200 158 0.66
201 87 1.22
201 324 0.92
201 44 0.66
202 218 1.15
202 435 0.92
202 175 1.16
203 187 0.5
203 325 0.45
203 266 0.65
204 191 0.53
204 302 0.82
204 357 2.62
205 104 0.63
205 330 1.06
205 586 1.6
206 326 0.53
206 207 1.02
206 371 0.69
207 434 1.24
