source target weight
0 236 1.41
0 239 0.6
0 361 1.23
1 538 0.88
1 730 1.4
1 666 1.26
2 596 0.93
2 57 1.87
2 54 0.95
3 681 1.58
3 740 1.3
3 599 0.63
4 587 1.39
4 78 0.77
4 155 1.37
5 529 0.56
5 153 1.01
5 219 1.66
6 163 1.16
6 749 0.57
6 254 1.91
7 103 0.37
7 616 1.01
7 415 1.81
8 78 2.87
8 52 0.84
8 545 0.61
9 750 2.47
9 169 1.63
9 723 0.77
10 393 1.36
10 264 1.37
10 509 0.79
11 145 0.99
11 558 1.69
11 194 0.53
12 58 0.86
12 732 1.04
12 582 0.62
13 504 1.44
13 733 1.35
13 524 0.61
14 43 0.68
14 597 0.88
14 85 1.23
15 72 0.37
15 738 0.83
15 459 0.93
16 51 1.09
16 601 0.63
16 133 0.67
17 606 1.5
17 666 1.2
17 474 0.65
18 794 1.64
18 267 0.89
18 200 1.89
19 402 1.75
19 635 1.34
19 172 0.79
20 693 0.93
20 138 1.2
20 34 2.27
21 342 0.34
21 313 1.52
21 517 1.02
22 395 0.93
22 276 0.58
22 91 2.1
23 638 1.31
23 597 0.56
23 401 2.35
24 598 0.74
24 596 0.64
24 642 0.81
25 321 1.23
25 656 0.5
25 621 1.91
26 764 0.35
26 434 1.7
26 594 2.87
27 573 2.12
27 706 1.48
27 42 3.1
28 784 0.69
28 34 1.77
28 494 0.56
29 505 0.92
29 27 1.27
29 2 1.02
30 638 1.96
30 582 0.52
30 454 0.43
31 419 1.74
31 590 0.81
31 6 0.8
32 248 1.2
32 800 0.65
32 494 1.13
33 719 1.33
33 82 1.11
33 555 1.05
34 528 1.01
34 155 0.64
34 261 1.56
35 129 1.57
35 149 2.6
35 743 1.08
36 534 1.19
36 651 0.42
36 108 1.05
37 104 1.75
37 6 0.25
37 285 5.16
38 534 0.84
38 575 1.23
38 237 0.8
39 560 0.91
39 86 2.75
39 439 0.97
40 790 1.91
40 372 2.67
40 217 1.03
41 181 1.41
41 665 1.56
41 131 1.81
42 91 0.55
42 130 1.85
42 375 0.95
43 575 3.04
43 229 0.73
43 69 0.85
44 214 2.02
44 80 0.67
44 149 1.17
45 536 0.43
45 660 1.11
45 190 0.79
46 789 1.12
46 119 1.25
46 625 0.96
47 45 1.3
47 571 0.8
47 336 0.5
48 762 1.37
48 241 3.05
48 796 0.45
49 202 0.71
49 375 0.6
49 497 0.76
50 701 1.91
50 75 1.62
50 542 1.06
51 57 1.16
51 796 2.0
51 534 1.6
52 705 1.59
52 641 1.02
52 248 1.26
53 478 3.38
53 214 0.68
53 765 0.94
54 711 0.65
54 426 1.44
54 393 0.83
55 404 0.49
55 799 1.2
55 206 0.82
56 43 2.2
56 164 0.93
56 788 1.58
57 90 0.99
57 8 1.33
57 773 0.52
58 505 1.3
58 326 0.91
58 467 1.73
59 716 0.53
59 796 2.07
59 103 0.73
60 562 2.08
