source target weight
0 116 0.6
0 117 1.3
0 103 1.24
1 149 0.68
1 131 0.89
1 198 1.4
2 164 1.0
2 66 0.76
2 54 1.58
3 220 2.93
3 237 1.12
3 256 2.27
4 30 1.78
4 212 0.87
4 252 0.69
5 128 0.8
5 296 0.68
5 200 0.97
6 295 1.95
6 7 0.4
6 39 1.17
7 242 1.69
7 11 0.99
7 115 1.12
8 200 1.55
8 72 1.19
8 275 0.89
9 9 1.55
9 290 0.75
9 165 1.35
10 22 2.89
10 239 2.19
10 189 0.88
11 149 0.88
11 121 0.85
11 196 0.94
12 39 0.61
12 288 0.75
12 60 1.21
13 94 0.9
13 94 1.42
13 18 0.74
14 94 0.35
14 140 0.84
14 11 0.6
15 69 0.59
15 116 1.64
15 122 1.73
16 62 2.16
16 60 1.61
16 168 1.06
17 15 1.33
17 268 0.61
17 238 0.72
18 250 2.08
18 111 0.8
18 262 0.75
19 99 0.76
19 62 1.15
19 61 0.46
20 263 0.63
20 245 2.12
20 239 0.69
21 35 1.3
21 137 1.57
21 248 1.13
22 257 1.27
22 211 0.58
22 157 1.68
23 140 1.8
23 275 0.51
23 152 0.55
24 288 1.19
24 134 1.2
24 175 0.63
25 37 2.75
25 221 2.41
25 179 0.96
26 49 0.91
26 15 1.05
26 239 0.85
27 48 1.95
27 83 0.53
27 142 0.48
28 281 0.62
28 69 0.87
28 198 1.33
29 280 0.9
29 219 0.71
29 33 0.51
30 236 0.88
30 209 1.75
30 24 0.54
31 280 1.34
31 8 1.15
31 54 0.94
32 16 3.51
32 270 0.87
32 231 1.19
33 77 0.94
33 284 0.48
33 6 1.2
34 10 1.83
34 133 0.94
34 12 0.59
35 175 1.2
35 162 1.09
35 82 0.75
36 149 0.52
36 252 0.58
36 137 0.45
37 209 0.68
37 182 0.85
37 92 0.46
38 260 1.5
38 5 0.6
38 151 0.93
39 100 1.69
39 80 0.61
39 54 0.39
40 84 2.3
40 296 1.57
40 191 1.17
41 30 1.06
41 282 2.59
41 281 0.57
42 78 1.69
42 124 0.65
42 122 2.08
43 159 0.88
43 133 1.6
43 91 0.48
