source target weight
0 52 2.67
0 248 1.98
0 385 0.55
1 297 0.96
1 194 0.94
1 76 0.82
2 110 0.56
2 171 0.78
2 290 1.19
3 284 1.77
3 230 0.4
3 172 0.45
4 235 0.62
4 378 1.56
4 317 0.61
5 47 5.74
5 336 0.49
5 138 0.97
6 236 0.48
6 122 2.04
6 116 0.41
7 14 0.99
7 251 0.8
7 400 1.1
8 66 1.4
8 192 1.0
8 398 1.11
9 2 0.7
9 251 0.35
9 351 0.97
10 227 0.89
10 191 0.67
10 42 0.86
11 82 1.12
11 232 0.96
11 282 2.09
12 383 1.62
12 396 0.92
12 248 0.68
13 354 1.01
13 356 1.28
13 171 0.46
14 46 1.31
14 244 1.89
14 241 0.93
15 331 1.05
15 247 0.88
15 178 0.64
16 91 0.89
16 282 0.54
16 21 0.5
17 152 0.94
17 177 1.55
17 13 1.58
18 357 0.93
18 338 0.69
18 159 0.83
19 23 1.83
19 382 0.68
19 200 1.45
20 59 1.34
20 222 0.61
20 161 0.82
21 160 0.62
21 200 0.51
21 157 1.16
22 52 0.66
22 399 1.07
22 346 0.46
23 190 1.4
23 282 0.79
23 341 0.62
24 16 0.91
24 269 1.73
24 310 0.95
25 173 0.43
25 49 0.85
25 176 2.69
26 161 0.84
26 111 1.03
26 122 1.29
27 277 1.2
27 79 1.19
27 77 2.52
28 222 0.75
28 239 2.11
28 134 0.53
29 331 0.71
29 381 0.62
29 6 0.43
30 122 1.04
30 378 2.46
30 136 0.34
31 129 0.7
31 252 0.86
31 239 0.63
32 5 0.33
32 25 1.47
32 347 1.06
33 30 2.28
33 68 2.26
33 97 1.93
34 211 0.88
34 182 1.1
34 61 1.02
35 285 0.71
35 10 0.94
35 335 0.4
36 340 0.56
36 2 0.73
36 338 0.76
37 391 1.19
37 268 0.38
37 153 1.39
38 268 1.4
38 2 0.85
38 106 0.84
39 249 1.23
39 219 0.45
39 14 3.03
40 381 0.78
40 103 0.56
40 378 1.37
41 217 0.28
41 186 1.07
41 242 1.14
42 392 1.37
42 357 1.46
42 203 2.07
43 379 0.82
43 120 0.89
43 356 1.25
44 36 1.19
44 150 0.65
44 320 0.76
45 372 0.92
45 319 1.28
45 22 1.08
46 220 0.98
46 141 0.91
46 124 0.95
47 67 1.03
47 2 1.27
47 54 0.77
48 159 0.64
48 86 0.43
48 98 1.35
49 61 2.06
49 369 0.95
49 89 2.17
50 149 1.34
50 243 1.77
50 77 1.53
51 326 1.43
51 142 0.84
51 86 0.81
52 106 0.93
52 369 2.81
52 250 0.85
53 76 1.37
53 218 0.88
53 56 0.58
54 157 0.89
54 228 1.17
54 332 1.04
55 299 0.37
55 171 1.93
55 199 0.57
56 59 0.88
56 76 0.61
56 135 0.44
57 115 1.49
57 240 0.72
57 187 1.16
58 149 0.81
58 121 2.7
58 98 0.9
59 82 1.23
59 188 1.05
59 52 0.54
60 276 0.71
60 121 0.75
60 22 0.6
61 176 1.87
61 183 1.29
61 248 1.12
62 148 1.5
62 98 2.65
62 39 0.39
63 56 0.92
63 295 0.54
63 128 2.49
64 37 0.48
64 341 2.38
64 88 0.57
65 146 1.51
65 166 1.71
65 185 0.76
66 223 0.9
66 348 1.37
66 15 0.32
67 385 2.43
67 170 0.77
67 348 1.07
68 95 0.57
68 61 0.74
68 23 0.38
69 73 0.45
69 17 1.51
69 80 1.05
70 221 1.41
70 288 2.16
70 123 1.45
71 345 1.03
71 343 1.0
71 268 0.51
72 143 1.36
72 142 0.95
72 241 0.43
73 80 0.66
73 74 0.61
73 298 1.02
74 156 0.29
74 317 1.05
74 324 2.4
75 299 0.98
75 378 0.54
75 396 1.44
76 134 1.03
76 257 2.05
76 39 2.66
77 297 0.54
77 357 0.6
77 350 0.48
78 258 1.26
78 184 1.57
78 26 1.01
79 360 0.86
79 96 2.29
79 185 1.98
80 112 1.48
80 205 1.96
80 248 0.75
81 10 0.8
81 256 1.71
81 337 2.13
82 151 0.95
82 298 2.48
82 124 1.08
83 273 1.56
83 350 1.64
83 18 0.75
84 163 1.94
84 347 3.49
84 314 0.98
85 150 0.93
85 206 1.66
85 71 0.59
86 95 1.21
86 270 0.35
86 79 2.29
87 39 1.01
87 286 1.32
87 325 1.61
88 47 1.06
88 118 0.89
88 217 1.03
89 204 0.89
89 326 1.27
89 379 0.65
90 107 2.63
90 308 1.08
90 202 0.69
91 357 1.34
91 207 0.6
91 178 0.71
92 25 2.22
92 111 1.55
92 196 0.27
93 234 0.9
93 66 2.29
93 135 1.28
94 245 1.43
94 310 1.25
94 251 0.33
95 351 1.61
95 137 0.62
95 22 2.46
96 77 0.64
96 193 1.4
96 142 0.62
97 253 1.22
97 252 0.6
97 38 1.16
98 301 1.51
98 29 0.45
98 14 0.86
99 20 1.52
99 341 0.86
99 223 0.69
100 45 1.46
100 14 0.65
100 107 1.39
101 304 0.9
101 17 0.47
101 38 1.38
102 12 2.15
102 32 0.84
102 341 0.78
103 20 0.77
103 200 0.75
103 53 1.17
104 191 0.95
104 334 1.17
104 55 1.96
105 176 1.19
105 88 1.24
105 94 1.34
106 262 0.71
106 108 1.45
106 397 2.66
107 285 1.2
107 64 1.47
107 200 0.96
108 334 1.47
108 375 1.42
108 161 1.19
109 255 1.46
109 276 1.26
109 135 0.64
110 166 0.49
110 177 1.9
110 384 0.6
111 219 0.72
111 87 1.33
111 303 0.75
112 156 1.95
112 113 1.11
112 88 1.37
113 76 1.41
113 56 0.55
113 258 0.33
114 232 0.44
114 29 1.62
114 50 0.88
115 187 1.62
115 284 1.03
115 331 2.17
116 198 1.43
116 378 1.18
116 109 2.27
117 57 1.95
117 304 0.77
117 189 0.6
118 261 0.75
118 285 0.77
118 332 0.42
119 354 2.1
119 247 0.96
119 133 0.49
120 359 0.83
120 319 1.48
120 49 1.13
121 74 1.29
121 376 2.37
121 394 0.62
122 294 0.35
122 203 1.74
122 136 0.7
123 136 1.23
123 314 0.78
123 274 1.33
124 360 1.06
124 107 1.02
124 342 0.84
125 80 2.14
125 183 1.06
125 221 0.87
126 341 0.4
126 139 0.54
126 113 1.83
127 101 0.4
127 197 1.45
127 287 0.88
128 238 1.18
128 308 0.81
128 238 1.13
129 273 1.73
129 324 1.81
129 347 1.23
130 284 0.74
130 243 0.75
130 367 0.63
131 27 0.71
131 258 0.89
131 390 0.71
132 57 0.52
132 121 0.62
132 292 0.78
133 253 1.76
133 332 0.74
133 354 1.47
134 395 0.59
134 2 1.14
134 155 1.11
135 241 1.16
135 101 0.65
135 236 1.69
136 247 0.81
136 231 1.61
136 111 0.35
137 166 1.26
137 92 2.63
137 393 1.18
138 73 1.33
138 204 0.85
138 91 1.1
139 265 0.97
139 330 1.65
139 369 0.64
140 143 0.66
140 65 1.42
140 31 0.99
141 28 0.86
141 281 0.93
141 150 1.58
142 65 1.88
142 302 0.91
142 145 2.03
143 344 0.96
143 266 0.75
143 157 0.79
144 120 0.95
144 40 2.54
144 377 1.26
145 257 0.55
145 105 0.67
145 122 2.18
146 10 1.06
146 312 0.76
146 293 0.73
147 367 0.67
147 30 1.26
147 275 1.88
148 234 1.41
148 12 1.14
148 304 0.61
149 351 1.01
149 314 1.34
149 45 1.16
150 329 1.04
150 372 0.79
150 190 0.6
151 166 1.21
151 187 1.2
151 318 0.97
152 46 1.56
152 366 0.52
152 313 0.87
153 2 0.7
153 139 0.74
153 148 0.63
154 255 1.3
154 96 1.04
154 376 1.39
155 303 1.2
155 386 0.81
155 238 1.11
156 80 0.96
156 62 1.99
156 279 1.01
157 82 3.11
157 79 1.39
157 185 0.71
158 333 0.43
158 394 0.73
158 254 1.12
159 203 1.13
159 7 0.65
159 364 1.24
160 199 0.71
160 343 0.78
160 292 1.84
161 119 0.75
161 397 0.82
161 145 0.76
162 149 0.86
162 237 0.56
162 192 0.96
163 200 1.56
163 70 2.34
163 94 1.23
164 100 2.88
164 96 1.15
164 184 0.58
165 160 0.98
165 114 0.61
165 208 0.76
166 310 1.33
166 106 1.03
166 218 1.14
167 215 0.43
167 172 1.24
167 285 1.58
168 393 1.04
168 20 1.71
168 298 1.33
169 79 2.22
169 105 2.16
169 177 0.91
170 302 1.32
170 8 1.37
170 209 0.85
171 239 0.69
171 397 1.33
171 12 1.61
172 64 2.12
172 146 1.51
172 56 1.06
173 390 1.75
173 112 2.03
173 128 1.62
174 3 0.43
174 119 1.87
174 250 1.04
175 241 1.34
175 125 1.63
175 132 0.99
176 359 1.29
176 397 0.42
176 258 1.27
177 307 0.57
177 316 0.49
177 246 1.07
178 295 0.23
178 24 0.22
178 176 1.38
179 280 0.93
179 88 0.26
179 286 0.31
180 205 1.07
180 332 1.96
180 157 1.31
181 84 1.85
181 395 1.04
181 250 0.43
182 4 0.39
182 292 0.88
182 183 1.35
183 199 0.92
183 327 1.63
183 1 1.54
184 131 1.31
184 292 0.59
184 369 1.6
185 71 1.36
185 317 1.02
185 47 0.67
186 2 0.34
186 258 0.87
186 381 1.3
187 178 0.61
187 127 1.05
187 382 0.79
188 396 1.2
188 21 0.56
188 146 0.42
189 318 1.32
189 367 0.37
189 379 1.27
190 161 1.22
190 175 1.54
190 286 0.52
191 371 0.43
191 174 2.45
191 385 0.81
192 385 1.2
192 262 2.48
192 182 0.97
193 177 0.66
193 392 1.9
193 219 0.42
194 248 1.6
194 393 0.82
194 95 2.66
195 125 1.59
195 48 2.5
195 172 0.56
196 222 0.94
196 151 2.19
196 201 1.08
197 147 0.63
197 137 0.74
197 281 0.67
198 248 2.84
198 397 0.93
198 166 1.35
199 310 1.03
199 338 0.72
199 176 0.94
200 1 0.63
200 221 0.9
200 317 0.43
201 191 0.98
201 253 0.2
201 319 1.4
202 301 0.6
202 105 1.42
202 16 1.24
203 43 1.45
203 352 1.04
203 226 1.06
204 316 1.55
